EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,
2576,Caitrin,Strong,16-Apr-20,15-Mar-21,Area Sales Manager,Patrick Patterson,caitrin.strong@bilearner.com,CCDR,Active,Contract,Zone B,Part-Time,Resignation,Doctor statement she rule order wind.,Sales,General - Sga,27-12-1969,MT,Supervisor,Female,59102,Asian,Widowed,Fully Meets,1,very low
2266,Jameson,Eaton,12-May-20,17-Mar-21,IT Support,Timothy Owens,jameson.eaton@bilearner.com,EW,Active,Full-Time,Zone B,Temporary,Resignation,Chair out man man.,IT/IS,Field Operations,10-02-1975,MA,Construction Manager,Female,84988,Other,Single,Fully Meets,5,very high
3179,Amya,Armstrong,23-Dec-20,17-Mar-21,Production Technician II,Victoria Thomas,amya.armstrong@bilearner.com,TNS,Active,Full-Time,Zone C,Full-Time,Voluntary,Assume none mother note poor indeed.,Production       ,Field Operations,22-12-1941,MA,Lineman,Male,96822,Black,Divorced,Fully Meets,2,low
1659,Joaquin,Hahn,26-Nov-19,19-Mar-21,Sales Manager,Keith Fleming,joaquin.hahn@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Involuntary,North rise until plan join.,Sales,Field Operations,30-06-1977,MA,Laborer,Female,39930,White,Single,Fully Meets,3,medium
3908,Kimberly,Watson,06-Aug-19,21-Mar-21,IT Support,Bryan Foley,kimberly.watson@bilearner.com,BPC,Active,Part-Time,Zone C,Temporary,Resignation,Reduce center top without.,IT/IS,Splicing,11-07-1986,MA,Splicer,Female,92289,Black,Married,Needs Improvement,3,medium
3125,Boston,Cochran,07-Apr-20,21-Mar-21,Production Technician I,Tracey Wu,boston.cochran@bilearner.com,PYZ,Leave of Absence,Part-Time,Zone C,Part-Time,Resignation,Magazine matter a teach.,Production       ,Aerial,08-09-1992,MA,Laborer,Male,10433,Black,Divorced,Fully Meets,4,high
3739,Amir,Melendez,24-Aug-18,22-Mar-21,Production Technician II,Rachel Pham,amir.melendez@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,Themselves specific seem want seek hospital.,Production       ,Field Operations,09-03-1951,MA,Tower Hand,Female,80870,Asian,Divorced,Fully Meets,3,medium
2543,Ernest,Finley,30-Jan-19,22-Mar-21,Software Engineer,Kenneth Berry,ernest.finley@bilearner.com,NEL,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Resignation,First peace oil more last us. Front product many.,Software Engineering,General - Con,25-12-1991,MA,Operator,Male,59271,White,Divorced,Fully Meets,2,low
2424,Jonathon,Montes,26-Feb-19,24-Mar-21,Network Engineer,Joseph Krause,jonathon.montes@bilearner.com,SVG,Active,Full-Time,Zone C,Full-Time,Resignation,Author sure care fish.,Executive Office,Engineers,18-08-1974,MA,Technician,Male,47083,Hispanic,Divorced,Fully Meets,2,low
2013,Zariah,Ritter,07-Jul-19,27-Mar-21,Production Technician I,Crystal Johnson,zariah.ritter@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Voluntary,Maintain score scene attack face try wish.,Production       ,General - Con,08-04-1952,MA,Foreman,Female,61363,Black,Widowed,Fully Meets,3,medium
1992,Shamar,Delgado,20-May-19,30-Mar-21,Production Technician II,Melissa Welch,shamar.delgado@bilearner.com,SVG,Active,Contract,Zone A,Part-Time,Involuntary,Create who sound worry ground.,Production       ,General - Con,25-02-1950,MA,Laborer,Female,74114,White,Divorced,Fully Meets,3,medium
1091,Carl,Desimone,16-Nov-18,03-Apr-21,Production Technician I,Daniel Booth,carl.desimone@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Involuntary,Fine use card current agent.,Production       ,General - Sga,26-08-1986,MA,Supervisor,Male,2061,Asian,Single,Fully Meets,3,medium
3023,Marshall,Lucas,15-Jan-19,03-Apr-21,Production Technician II,Grant Brooks,marshall.lucas@bilearner.com,TNS,Voluntarily Terminated,Contract,Zone B,Part-Time,Retirement,Personal themselves institution record.,Production       ,General - Con,30-01-1958,MA,Technician,Female,46410,Black,Widowed,PIP,2,low
1834,Dereon,Huffman,31-Jul-20,05-Apr-21,Production Technician II,Joseph Diaz,dereon.huffman@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Resignation,Child lose recently.,Production       ,Project Management - Con,13-09-1978,MA,Coordinator,Female,80929,White,Divorced,Needs Improvement,3,medium
1053,Blaine,Keith,13-Mar-19,07-Apr-21,Shared Services Manager,Timothy Hansen,blaine.keith@bilearner.com,NEL,Active,Contract,Zone C,Full-Time,Resignation,Wind commercial in ahead will realize.,Software Engineering,Project Management - Con,25-07-1947,MA,Project Manager,Female,43336,Hispanic,Divorced,Fully Meets,3,medium
2644,Miranda,Keith,19-Jul-20,10-Apr-21,Area Sales Manager,Patrick Lopez,miranda.keith@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Involuntary,Within rise suggest war check happy whom.,Sales,Aerial,23-01-1999,TN,Lineman,Male,25859,Other,Single,Fully Meets,5,very high
3597,Brenton,Monroe,06-Jun-20,14-Apr-21,Production Technician II,Autumn Decker,brenton.monroe@bilearner.com,PYZ,Future Start,Contract,Zone C,Part-Time,Retirement,Democrat themselves deal future early.,Production       ,General - Con,31-10-1986,MA,Foreman,Female,17650,Black,Single,Fully Meets,1,very low
3607,Frankie,Atkins,18-Jun-19,14-Apr-21,Production Technician I,Christopher Murray,frankie.atkins@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Resignation,Finally build do analysis beyond heavy.,Production       ,Project Management - Con,03-08-1976,MA,Coordinator,Male,15195,Other,Married,Fully Meets,5,very high
3866,Kaeden,Vargas,04-Sep-20,17-Apr-21,Network Engineer,Harold Lee,kaeden.vargas@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Retirement,First bed red in.,Executive Office,Field Operations,09-11-1959,MA,Technician,Male,58737,Other,Divorced,Fully Meets,3,medium
1800,Kyan,Morrison,18-Oct-19,19-Apr-21,Production Technician I,Bethany Wilkerson,kyan.morrison@bilearner.com,TNS,Active,Part-Time,Zone C,Full-Time,Resignation,Own while top huge.,Production       ,Wireline Construction,05-04-1976,MA,Lineman,Female,57065,Black,Divorced,Fully Meets,3,medium
3297,Axel,Dunlap,18-Jul-20,20-Apr-21,Production Technician I,Bryan Beasley,axel.dunlap@bilearner.com,CCDR,Leave of Absence,Contract,Zone A,Temporary,Retirement,Stock true summer together social.,Production       ,Field Operations,12-10-1955,MA,Engineer,Male,25813,Black,Married,Fully Meets,4,high
3838,Tanya,Leonard,17-Dec-18,21-Apr-21,IT Support,Duane Le,tanya.leonard@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,Voluntary,Race state time lose.,IT/IS,Field Operations,14-08-1979,MA,Assistant,Female,28364,Asian,Single,PIP,3,medium
1512,Kendal,Abbott,11-Oct-19,24-Apr-21,Production Technician I,Maria Huber,kendal.abbott@bilearner.com,MSC,Leave of Absence,Contract,Zone B,Part-Time,Involuntary,Politics discover throw commercial economic.,Production       ,Field Operations,29-06-1982,MA,Laborer,Female,42058,Asian,Widowed,Fully Meets,3,medium
1246,Kira,Soto,28-Sep-18,25-Apr-21,Production Technician I,Casey Dennis,kira.soto@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone B,Temporary,Resignation,Control store point.,Production       ,Field Operations,14-11-1943,MA,Ceo,Male,5254,Black,Widowed,Fully Meets,3,medium
3038,Heidi,Manning,11-Nov-20,28-Apr-21,Production Technician I,David Stark,heidi.manning@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Involuntary,Enough note majority positive catch trip.,Production       ,Field Operations,20-08-1955,MA,Laborer,Male,76217,White,Divorced,Fully Meets,2,low
1404,Ned,Miller,01-Nov-18,29-Apr-21,Production Technician II,James Guzman,ned.miller@bilearner.com,BPC,Voluntarily Terminated,Contract,Zone B,Part-Time,Involuntary,Third cost above management anything.,Production       ,Finance & Accounting,06-12-1978,MA,Manager,Male,2472,Hispanic,Single,Exceeds,3,medium
3641,Kiersten,Ellis,07-Feb-20,01-May-21,Production Technician I,Eric Michael,kiersten.ellis@bilearner.com,EW,Future Start,Contract,Zone B,Full-Time,Voluntary,Air act watch affect save positive among.,Production       ,General - Con,15-01-1971,MA,Operator,Male,56039,Other,Widowed,Fully Meets,3,medium
1766,Kasey,Alexander,22-Jun-19,01-May-21,Production Technician I,Michelle Herrera,kasey.alexander@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Resignation,Reflect important account keep eye accept.,Production       ,Field Operations,15-07-1957,MA,Laborer,Female,75004,Asian,Married,Fully Meets,3,medium
1543,Valery,Holder,11-Jul-19,04-May-21,Production Technician I,Crystal Nelson,valery.holder@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Involuntary,Daughter know consider.,Production       ,Field Operations,16-07-1961,MA,Laborer,Male,43421,Black,Married,Fully Meets,3,medium
1646,Cora,Perez,05-Apr-19,07-May-21,Sales Manager,Carol Morales,cora.perez@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Voluntary,Fight beautiful describe personal.,Admin Offices,General - Sga,17-06-1987,MA,Engineer,Male,74220,Black,Divorced,Fully Meets,3,medium
2305,Rosemary,Thornton,11-Dec-19,12-May-21,Network Engineer,Tracy Logan,rosemary.thornton@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Resignation,Want agency relationship house nice mother.,Production       ,Field Operations,03-10-1970,MA,Laborer,Female,18379,White,Divorced,Fully Meets,2,low
2555,Colby,Horne,14-Aug-19,13-May-21,IT Director,Victoria Munoz,colby.horne@bilearner.com,BPC,Active,Full-Time,Zone A,Temporary,Resignation,Mr opportunity dinner chance common.,IT/IS,Wireless,26-10-1956,MA,Foreman,Male,6633,Other,Widowed,Fully Meets,2,low
1546,Madden,Lam,21-Jan-20,19-May-21,Production Technician I,Michelle Miller,madden.lam@bilearner.com,PYZ,Active,Part-Time,Zone B,Part-Time,Voluntary,Week force explain of determine consumer.,Production       ,Splicing,13-08-1952,MA,Construction Manager,Female,61239,Hispanic,Widowed,Fully Meets,3,medium
2203,Colton,Le,29-Feb-20,20-May-21,Production Technician I,Richard Jones,colton.le@bilearner.com,NEL,Voluntarily Terminated,Contract,Zone A,Part-Time,Involuntary,Together three executive compare.,Production       ,General - Con,05-04-1986,MA,Technician,Female,42742,Asian,Married,Exceeds,1,very low
2872,Greta,Horne,29-Jun-20,20-May-21,Production Technician I,Steven Myers,greta.horne@bilearner.com,PL,Active,Contract,Zone B,Full-Time,Voluntary,Certain nation hot sense enjoy.,Production       ,Wireline Construction,03-12-1967,MA,Operator,Male,97145,Hispanic,Married,Fully Meets,2,low
3820,Anita,Shepard,11-Aug-18,21-May-21,Network Engineer,George Tran,anita.shepard@bilearner.com,EW,Active,Contract,Zone C,Full-Time,Voluntary,Pattern son memory power citizen personal unit.,IT/IS,General - Con,29-09-1976,MA,Foreman,Female,1773,Other,Divorced,Fully Meets,3,medium
3298,Tatum,Petty,19-Nov-20,21-May-21,Production Technician II,Sarah Escobar,tatum.petty@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Involuntary,Great unit evidence run.,Production       ,Field Operations,10-03-1996,MA,Technician,Female,88404,Hispanic,Widowed,Fully Meets,5,very high
1678,Soren,Coleman,18-Nov-20,22-May-21,Senior BI Developer,Barbara Boyd,soren.coleman@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Resignation,Republican threat song to rock.,Admin Offices,Field Operations,28-03-1946,MA,Technician,Female,59433,Black,Widowed,Fully Meets,3,medium
1708,Molly,Fischer,10-Sep-20,22-May-21,BI Developer,Bonnie Smith,molly.fischer@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Involuntary,With turn maybe herself trouble.,IT/IS,Splicing,12-05-1990,MA,Associate,Male,65055,Asian,Widowed,Fully Meets,3,medium
2534,Iyana,Benjamin,15-Apr-19,23-May-21,IT Director,Scott Moore,iyana.benjamin@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Retirement,Manager since future contain play.,IT/IS,Project Management - Con,05-07-1960,MA,Coordinator,Male,96561,Other,Divorced,Fully Meets,1,very low
2366,Reese,Kennedy,16-Nov-18,25-May-21,Production Manager,Terri Morris,reese.kennedy@bilearner.com,NEL,Terminated for Cause,Full-Time,Zone B,Part-Time,Retirement,Factor strategy defense citizen.,Production       ,Fielders,22-07-1944,MA,Engineer,Female,83442,Asian,Divorced,Fully Meets,2,low
3246,Natalia,Burns,12-Jun-19,25-May-21,Production Technician I,Barry Hernandez,natalia.burns@bilearner.com,SVG,Terminated for Cause,Part-Time,Zone C,Part-Time,Retirement,With picture sport this after.,Production       ,Safety,15-04-1988,MA,Safety,Female,16673,White,Married,Fully Meets,4,high
1777,Amare,Hartman,05-Jul-19,26-May-21,Production Technician I,Brian Rogers,amare.hartman@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Professor late television spend foreign.,Production       ,Splicing,25-04-1962,MA,Splicer,Female,64893,Hispanic,Single,Fully Meets,3,medium
1016,Jayda,Reese,21-Feb-20,29-May-21,Senior BI Developer,Tyler Davis,jayda.reese@bilearner.com,PL,Active,Part-Time,Zone B,Part-Time,Involuntary,Friend agree stock teach price fish.,Admin Offices,Shop (Fleet),08-03-1956,MA,Mechanic,Female,64065,White,Single,Fully Meets,3,medium
1027,Joanna,Murphy,14-Jun-20,29-May-21,Senior BI Developer,Michael Ramos,joanna.murphy@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,Voluntary,Open test message part risk.,Admin Offices,General - Con,21-12-1962,MA,Flagger,Male,24931,Other,Single,Fully Meets,3,medium
1694,Malia,Reynolds,09-Apr-21,29-May-21,CIO,Dennis Gardner,malia.reynolds@bilearner.com,TNS,Terminated for Cause,Part-Time,Zone A,Temporary,Resignation,Make company education fish.,IT/IS,Aerial,04-10-1961,MA,Foreman,Male,82773,Asian,Married,Fully Meets,3,medium
1951,Lindsay,Copeland,26-Aug-20,30-May-21,Sales Manager,Jeffery Snyder,lindsay.copeland@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone A,Temporary,Voluntary,Final send three.,Sales,Aerial,09-10-1960,MA,Foreman,Female,32929,Asian,Married,Fully Meets,3,medium
3481,Leland,Allen,07-Mar-19,31-May-21,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,11-12-1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,high
3995,Cortez,Murillo,15-Jul-19,01-Jun-21,Database Administrator,Stuart White,cortez.murillo@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Resignation,Or break sea say owner. Often guy local.,IT/IS,Wireline Construction,08-12-1946,MA,Project Manager,Female,95641,Black,Widowed,Exceeds,3,medium
3253,Tessa,Estes,01-Sep-19,01-Jun-21,Production Technician I,Terrance Pitts,tessa.estes@bilearner.com,PL,Leave of Absence,Part-Time,Zone A,Part-Time,Involuntary,Star candidate seven television teacher all many.,Production       ,Field Operations,15-05-1993,MA,Technician,Female,46895,White,Single,Fully Meets,2,low
1052,Jacquelyn,Johns,25-Feb-21,04-Jun-21,Shared Services Manager,Christopher Romero,jacquelyn.johns@bilearner.com,WBL,Active,Contract,Zone B,Part-Time,Voluntary,Plant enjoy these drive themselves never hit PM.,Software Engineering,General - Con,21-06-1980,MA,Foreman,Female,52448,Hispanic,Single,Fully Meets,3,medium
1698,Makai,Nolan,15-Feb-21,05-Jun-21,Area Sales Manager,Deborah Beltran,makai.nolan@bilearner.com,EW,Active,Full-Time,Zone A,Part-Time,Resignation,This cost difficult. Time meet should.,IT/IS,Billable Consultants,14-11-1994,MA,Engineer,Male,5156,White,Married,Fully Meets,3,medium
1012,Skyler,Blackwell,09-Nov-20,06-Jun-21,Software Engineer,Candice Schmidt,skyler.blackwell@bilearner.com,TNS,Voluntarily Terminated,Contract,Zone A,Temporary,Involuntary,Get apply economy artist right benefit ground.,Software Engineering,General - Eng,03-10-1978,MA,Administrative,Male,67544,White,Single,Fully Meets,3,medium
4000,Angelique,Mann,26-Oct-19,08-Jun-21,Data Architect,Eugene Morgan,angelique.mann@bilearner.com,PYZ,Terminated for Cause,Contract,Zone C,Full-Time,Involuntary,Stop air whole generation adult song.,IT/IS,Field Operations,31-03-1960,TX,Technician,Male,18464,Black,Divorced,Fully Meets,3,medium
1626,Katie,Roper,17-Sep-20,08-Jun-21,Data Architect,William Green,katie.roper@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Resignation,To national third with give law live.,IT/IS,General - Con,12-05-1947,MA,Technician,Female,2056,Other,Married,Needs Improvement,3,medium
1969,Allison,Lydon,17-Jan-21,08-Jun-21,Production Technician I,Derek Vargas,allison.lydon@bilearner.com,MSC,Leave of Absence,Full-Time,Zone A,Part-Time,Retirement,Indicate mother account loss really past.,Production       ,General - Con,10-02-1975,MA,Foreman,Female,2122,White,Single,Fully Meets,3,medium
2623,Harper,Clark,21-May-20,13-Jun-21,Area Sales Manager,Benjamin Cooper,harper.clark@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Game success stock hold sometimes will approach.,Sales,Field Operations,13-07-1953,AZ,Tower Hand,Male,55592,Asian,Divorced,Fully Meets,2,low
1078,Litzy,Conner,24-Feb-20,16-Jun-21,Software Engineer,Angela Ramsey,litzy.conner@bilearner.com,PYZ,Active,Contract,Zone C,Temporary,Voluntary,Crime west best industry right alone begin.,Software Engineering,Aerial,19-03-1997,MA,Foreman,Female,42710,Asian,Divorced,Fully Meets,3,medium
2226,Zechariah,Strong,22-Mar-19,17-Jun-21,IT Support,Daniel Blake,zechariah.strong@bilearner.com,SVG,Active,Contract,Zone A,Full-Time,Resignation,Clearly rule suddenly.,IT/IS,General - Eng,07-09-1960,MA,Administrative,Female,73392,White,Married,Exceeds,1,very low
1686,Alexis,Harrell,05-Jan-21,18-Jun-21,BI Developer,Jennifer Adams,alexis.harrell@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Retirement,Scientist become a become value cell policy.,IT/IS,Finance & Accounting,06-03-1954,MA,Intern,Male,63472,Black,Widowed,Fully Meets,3,medium
1503,Nickolas,Guzman,13-Jun-21,20-Jun-21,Production Technician I,Marissa Clarke,nickolas.guzman@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Retirement,Remember teacher produce use voice.,Production       ,General - Sga,21-04-1985,MA,Business Development,Female,31097,Black,Single,Fully Meets,3,medium
2389,Keshawn,Singh,03-Nov-19,22-Jun-21,Data Analyst,Michelle Scott,keshawn.singh@bilearner.com,EW,Active,Contract,Zone C,Part-Time,Resignation,Be there wide. Treatment blue learn choice.,Production       ,General - Eng,22-05-1976,MA,Administrative,Male,35338,White,Widowed,Fully Meets,2,low
1024,Kasey,Boyer,30-Dec-18,23-Jun-21,Shared Services Manager,Chad Andrews,kasey.boyer@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Free may every real agency as blue maintain.,Software Engineering,Fielders,30-03-1987,MA,Coordinator,Female,91332,Other,Divorced,Fully Meets,3,medium
2593,Sage,Booker,01-Dec-18,23-Jun-21,Area Sales Manager,Kimberly Lee,sage.booker@bilearner.com,MSC,Active,Contract,Zone A,Temporary,Voluntary,Weight join evidence oil father.,Sales,General - Con,08-02-1972,TN,Laborer,Male,64576,Other,Widowed,Fully Meets,1,very low
3177,Abel,Potts,30-Sep-19,23-Jun-21,Production Technician I,Lori Martin,abel.potts@bilearner.com,EW,Terminated for Cause,Full-Time,Zone A,Full-Time,Resignation,Six agreement take. Newspaper back land health.,Production       ,Project Management - Con,13-03-2000,MA,Coordinator,Female,48294,Asian,Single,Fully Meets,1,very low
2459,Bradyn,Pham,15-Dec-20,24-Jun-21,Director of Operations,Sarah Kennedy,bradyn.pham@bilearner.com,SVG,Active,Full-Time,Zone A,Temporary,Retirement,Type by way so firm high building.,Production       ,Field Operations,10-07-1995,RI,Laborer,Female,89047,Asian,Married,Fully Meets,4,high
1850,Breanna,Cardenas,15-Dec-19,25-Jun-21,Production Technician I,Ashley Orozco,breanna.cardenas@bilearner.com,WBL,Voluntarily Terminated,Contract,Zone A,Full-Time,Voluntary,Food few generation seek outside.,Production       ,Aerial,23-10-1996,MA,Lineman,Female,78073,White,Married,PIP,3,medium
2465,Callum,Miles,13-Apr-20,26-Jun-21,Production Manager,Heidi Mann,callum.miles@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Retirement,Site least knowledge right every.,Production       ,Field Operations,09-11-1961,MA,Laborer,Female,42463,White,Single,Fully Meets,2,low
3880,Zara,Pitts,29-Mar-21,27-Jun-21,Network Engineer,Richard Gonzalez,zara.pitts@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Voluntary,Offer kitchen foreign role.,IT/IS,General - Con,15-05-1973,MA,Clerical,Male,73726,Black,Single,Fully Meets,3,medium
3614,Bridget,Deleon,08-Jan-20,02-Jul-21,Production Technician I,Clifford Martinez,bridget.deleon@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Voluntary,Store common between real.,Production       ,Project Management - Con,31-08-1973,MA,Field Project Manager,Male,23691,White,Married,Fully Meets,2,low
2789,Isabel,Wyatt,26-Apr-21,06-Jul-21,Production Technician I,Matthew Craig,isabel.wyatt@bilearner.com,CCDR,Active,Contract,Zone B,Temporary,Retirement,Great parent relate growth summer.,Production       ,Wireless,04-06-1942,MA,Manager,Male,31575,Asian,Divorced,Fully Meets,4,high
2548,Luz,Garza,14-Nov-18,08-Jul-21,BI Developer,Brittany Johnson,luz.garza@bilearner.com,PYZ,Active,Contract,Zone A,Temporary,Resignation,Win onto effect security instead.,IT/IS,General - Sga,16-02-1954,MA,Manager,Female,70770,Other,Divorced,Fully Meets,1,very low
3622,Danika,Fleming,09-Jul-20,10-Jul-21,Production Technician II,Christopher Ayers,danika.fleming@bilearner.com,SVG,Active,Part-Time,Zone A,Temporary,Resignation,Song remember visit finish edge difficult down.,Production       ,Field Operations,16-10-1995,MA,Laborer,Female,75607,Hispanic,Divorced,Fully Meets,3,medium
1377,Larissa,Douglas,03-Mar-21,10-Jul-21,Administrative Assistant,Harry Ellis,larissa.douglas@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Resignation,Current budget certain interview increase.,Admin Offices,General - Con,18-05-1968,MA,Technician,Female,67773,White,Divorced,Exceeds,3,medium
1575,Gabriel,Adams,11-Aug-19,10-Jul-21,Production Technician I,Amanda Patterson,gabriel.adams@bilearner.com,EW,Leave of Absence,Contract,Zone A,Temporary,Involuntary,Wonder worry life stand.,Production       ,Field Operations,19-07-1942,MA,Laborer,Female,82586,Asian,Single,Fully Meets,3,medium
2449,Chana,Fox,29-Apr-20,10-Jul-21,Production Manager,Desiree Blair,chana.fox@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone B,Temporary,Retirement,Authority be bank.,Production       ,Aerial,10-02-1986,MA,Lineman,Female,63427,Hispanic,Single,Fully Meets,4,high
2925,Kaylin,Andersen,30-Aug-18,11-Jul-21,Production Technician II,Monica Jackson,kaylin.andersen@bilearner.com,CCDR,Active,Part-Time,Zone B,Temporary,Involuntary,New arm manage.,Production       ,General - Sga,18-09-1972,MA,Administrator,Male,65881,Other,Divorced,Exceeds,4,high
3375,Sharon,Beltran,08-Jun-20,13-Jul-21,Production Technician I,Kathy Kelley,sharon.beltran@bilearner.com,NEL,Voluntarily Terminated,Full-Time,Zone B,Full-Time,Voluntary,Theory majority born with.,Production       ,Engineers,20-09-1999,MA,Program Manager,Female,58194,Black,Divorced,Exceeds,3,medium
3009,Aracely,Kelly,02-Jun-19,14-Jul-21,Production Technician I,Tony Moyer,aracely.kelly@bilearner.com,EW,Active,Part-Time,Zone C,Part-Time,Resignation,Avoid so despite. Risk bill cause school off.,Production       ,Billable Consultants,01-05-1997,MA,Engineer,Male,14887,White,Married,Fully Meets,2,low
1357,Angeline,Perez,07-Sep-18,16-Jul-21,Accountant I,Mrs. Tracy Cisneros DDS,angeline.perez@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Fast whether mouth physical.,Admin Offices,Engineers,04-07-1972,MA,Principal,Male,74550,Black,Divorced,Fully Meets,3,medium
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,very low
2609,Harrison,Camacho,06-Dec-19,18-Jul-21,Area Sales Manager,Robert Thompson,harrison.camacho@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,Retirement,Upon budget class college now this trade.,Sales,General - Sga,13-08-1971,TN,Administrative,Male,55114,Asian,Widowed,Fully Meets,2,low
1281,Jordyn,Sheppard,07-Aug-20,20-Jul-21,Production Technician I,Jeffrey Bowen,jordyn.sheppard@bilearner.com,TNS,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Retirement,Tree cause agency reduce fine air.,Production       ,Finance & Accounting,19-12-1968,MA,Administrative,Female,30117,White,Widowed,Fully Meets,3,medium
1188,Reagan,Odonnell,06-Feb-20,21-Jul-21,Production Technician II,Alex Bernard,reagan.odonnell@bilearner.com,WBL,Voluntarily Terminated,Contract,Zone B,Part-Time,Retirement,Direction west appear son school anything.,Production       ,General - Sga,28-05-1979,MA,Estimator,Male,13562,Black,Divorced,Fully Meets,3,medium
1222,Paola,Weeks,18-Dec-20,23-Jul-21,Production Technician I,Sarah Williams,paola.weeks@bilearner.com,MSC,Voluntarily Terminated,Contract,Zone A,Part-Time,Involuntary,Improve sea attention baby local ahead.,Production       ,People Services,26-12-1949,MA,Recruiting,Female,31362,Asian,Widowed,Fully Meets,3,medium
3070,Malakai,Shelton,25-Dec-19,24-Jul-21,Production Technician II,Geoffrey Curtis,malakai.shelton@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Involuntary,Television new fire board need list admit.,Production       ,Wireline Construction,05-05-1972,MA,Laborer,Female,7528,White,Divorced,Fully Meets,1,very low
3943,Jason,Salter,27-Jul-19,25-Jul-21,Data Analyst ,Lauren Moore,jason.salter@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Resignation,Choose system picture one party decision.,IT/IS,General - Eng,04-08-1971,MA,Administrative,Male,2452,Black,Single,Fully Meets,3,medium
3028,Teagan,Phelps,10-Aug-18,25-Jul-21,Production Technician II,Brian Green,teagan.phelps@bilearner.com,NEL,Voluntarily Terminated,Contract,Zone B,Temporary,Resignation,Whether give voice pull make.,Production       ,Engineers,02-05-2000,MA,Engineer,Female,32254,Asian,Married,Fully Meets,2,low
1143,Elianna,Schmitt,02-Sep-18,28-Jul-21,Production Manager,Margaret Gamble,elianna.schmitt@bilearner.com,PL,Active,Contract,Zone A,Full-Time,Resignation,Year total care thousand what each.,Production       ,Field Operations,20-06-1942,MA,Lineman,Female,46695,Hispanic,Widowed,Fully Meets,3,medium
1504,Guillermo,Rose,04-Nov-19,28-Jul-21,Production Technician I,Cindy Lopez,guillermo.rose@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Resignation,Health section option interview.,Production       ,Engineers,23-08-1971,MA,Technician,Female,11962,Other,Married,Needs Improvement,3,medium
2560,Nathan,Schmitt,30-Jun-21,28-Jul-21,IT Manager - Infra,Sarah Campbell,nathan.schmitt@bilearner.com,WBL,Active,Part-Time,Zone A,Part-Time,Voluntary,According maintain president start upon evening.,IT/IS,Field Operations,05-01-1977,MA,Vp,Male,43352,Black,Widowed,Fully Meets,4,high
